,Company name,"Total assets
m USD
2014","Total assets
m USD
2013","Total assets
m USD
2012","Total assets
m USD
2011","Operating
revenue
(Turnover)
m USD
2014","Operating
revenue
(Turnover)
m USD
2013","Operating
revenue
(Turnover)
m USD
2012","Operating
revenue
(Turnover)
m USD
2011","Number of employees
Last avail. yr","Number of employees
2014","Number of employees
2013","Number of employees
2012","Number of employees
2011"
2985.,WEB CAPITAL LLC,-1,-1,-1,-1,0.25,-1,-1,-1,1,1,-1,-1,-1
2986.,FIX & ASSOCIATES LLC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
2987.,WESTFIELD AREA FEDERAL CREDIT UNION INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
2988.,WESTERN NEW YORK SETTLEMENT SERVICES INC,-1,-1,-1,-1,-1,0.25,-1,-1,1,-1,1,-1,-1
2989.,WOODHAVEN CHECK CASHING CORP,-1,-1,-1,-1,0.25,-1,-1,-1,1,1,-1,-1,-1
2990.,YONKERS POSTAL EMPLOYEES CREDIT UNION,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
2991.,GOTHAM CITY MORTGAGE,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
2992.,ENCORE CAPITAL CORP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
2993.,HANOVER MORTGAGE CORP KLOPFER,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
2994.,HOLBROOK COMMUNITY FEDERAL CREDIT UNION,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
2995.,JACK OF ALL PRINTS INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
2996.,DEUTSCHE BANK TRUST CORP,-1,-1,-1,-1,-1,-1,-1,-1,35,-1,-1,-1,-1
2997.,OC GLASS JR CHECK CASHING,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
2998.,GOLD TOE BRANDS INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
2999.,LIFETRUST LLC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3000.,MIDTOWN HOLDING INC,-1,-1,-1,-1,0.25,-1,-1,-1,1,1,-1,-1,-1
3001.,MIGDEN & MIGDEN,-1,-1,-1,-1,0.25,-1,-1,-1,1,1,-1,-1,-1
3002.,CAPITAL QUESTS,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3003.,NEXSTAR HOLDING CORP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3004.,NORTH SHORE PROPERTIES OF LONG ISLAND LL,-1,-1,-1,-1,0.25,-1,-1,-1,1,1,-1,-1,-1
3005.,WHITEHAVEN P I FUND LLC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3006.,3211 HOLDING CORP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3007.,A & R CHECK CASHING CORP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3008.,ACCESS MORTGAGES INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3009.,ACORN HOLDING CORP,-1,-1,-1,-1,0.25,-1,-1,-1,1,1,-1,-1,-1
3010.,ACTIVATED HOLDINGS LLC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3011.,ALL STATE MUTUAL MORTGAGE,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3012.,JUNEWICZ & CO INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3013.,DAR T CAPITAL MORTGAGE CORP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3014.,ATLANTIC CAPITAL ASSOCIATES INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3015.,ATLANTIS MORTGAGE CO INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3016.,AXXION MORTGAGE SERVICES,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3017.,BANKERS EQUITY CAPITAL CORP,-1,-1,-1,-1,0.25,-1,-1,-1,1,1,-1,-1,-1
3018.,BBK HOLDING INC,-1,-1,-1,-1,-1,0.25,-1,-1,1,-1,1,-1,-1
3019.,GUGGENHEIM CAPITAL MARKETS LLC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3020.,HWANG YIN LOIS,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3021.,SMART CHOICE MORTGAGE COMPANY CO INC,-1,-1,-1,-1,0.25,-1,-1,-1,1,1,-1,-1,-1
3022.,SEQUOIA FUND INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3023.,10TH AVE CHECK CASHING CORP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3024.,ABRIDGE & CO,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3025.,VACCARO REAL ESTATE HOLDINGS,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3026.,CHEMTOB MARK,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3027.,CHRISLIE INC,-1,-1,-1,-1,0.25,-1,-1,-1,1,1,-1,-1,-1
3028.,ALVA HOLDINGS,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3029.,AMERISTAR CAPITOL CORP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3030.,AMIC DISTRIBUTION PARTNERS INC,-1,-1,-1,-1,0.25,-1,-1,-1,1,1,-1,-1,-1
3031.,COHEN ARTHUR CHARLES INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3032.,ARGO CHECK CASHING CORP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3033.,WHITE HOUSE MORTGAGE CORP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3034.,WILLIAM TUCKER ATTY,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3035.,DAN W LUFKIN,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3036.,BATSO HOLDINGS LLC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3037.,BAUER CARLA DESIGN INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3038.,BOULEY INTERNATIONAL HOLDINGS,-1,-1,-1,-1,0.25,-1,-1,-1,1,1,-1,-1,-1
3039.,CARTERET MORTGAGE CORP,-1,-1,-1,-1,-1,-1,-1,0.25,1,-1,-1,-1,1
3040.,HISTORIC HUDSON VALLEY RADIO INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3041.,BRICK HOLDINGS LLC,-1,-1,-1,-1,0.25,-1,-1,-1,1,1,-1,-1,-1
3042.,CENTRAL BANK OF TURKEY,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3043.,FCS VENTURES INC,-1,-1,-1,-1,0.25,-1,-1,-1,1,1,-1,-1,-1
3044.,FIRST GLOBAL FUNDING CORP OF NEW YORK,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3045.,FIRST METROPOLITAN MORTGAGE CO,-1,-1,-1,-1,0.25,-1,-1,-1,1,1,-1,-1,-1
3046.,FIRST STATE MORTGAGE CORP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3047.,COHANE RAFFERTY LLC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3048.,COHEN & CO LLC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3049.,COMPAS ADVISERS LLP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3050.,COMPASS SPECIAL SITUATION II LLC,-1,-1,-1,-1,0.25,-1,-1,-1,1,1,-1,-1,-1
3051.,COPELCO CAPITAL,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3052.,FORTUNE MORTGAGE SERVICES,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3053.,G & R CHECK CASHING CORP IX,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3054.,GILBERT HOLDINGS INC,-1,-1,-1,-1,-1,0.25,-1,-1,1,-1,1,-1,-1
3055.,CS HOLDING I CORP,-1,-1,-1,-1,-1,0.25,-1,-1,1,-1,1,-1,-1
3056.,CSW LEASING INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3057.,TRANSMARKET GROUP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3058.,DBL OPERATING CORP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3059.,DNTR TIRE INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3060.,HAVEN FUNDING LTD,-1,-1,-1,-1,0.25,-1,-1,-1,1,1,-1,-1,-1
3061.,EAST RIVER MORTGAGE,-1,-1,-1,-1,-1,-1,-1,0.25,1,-1,-1,-1,1
3062.,EASTSIDE HOLDINGS,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3063.,ESSEX HOME RESOURCES CORP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3064.,KLF HOLDING CORP,-1,-1,-1,-1,-1,0.25,-1,-1,1,-1,1,-1,-1
3065.,HENNESSEY WILLIAM J,-1,-1,-1,-1,-1,0.25,-1,-1,1,-1,1,-1,-1
3066.,HIRSCH NAT,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3067.,FAR VENTURES,-1,-1,-1,-1,0.25,-1,-1,-1,1,1,-1,-1,-1
3068.,INDEPENDENT FINANCL COUNSELORS,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3069.,JENSEN HOLDINGS LTD,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3070.,JEROME INTERNATIONAL CORP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3071.,FRANKLIN FINANCIAL CORPORATION OF AMERICA,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3072.,GENERAL CREDIT CORP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3073.,JOYCE FINANCIAL CORP,-1,-1,-1,-1,0.25,-1,-1,-1,1,1,-1,-1,-1
3074.,LANGFAN CO,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3075.,MARANT ENTERPRISES HOLDINGS LLC,-1,-1,-1,-1,0.25,-1,-1,-1,1,1,-1,-1,-1
3076.,HOMESTEADERS FEDERAL CREDIT UNION,-1,-1,-1,-1,0.25,-1,-1,-1,1,1,-1,-1,-1
3077.,MEDACCEPT INC,-1,-1,-1,-1,-1,-1,-1,0.25,1,-1,-1,-1,1
3078.,I & O ASSOCIATES MORTGAGE,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3079.,MIDWEST FINANCIAL ACCEPTANCE CORP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3080.,JASCO HOLDING CO INC,-1,-1,-1,-1,0.25,-1,-1,-1,1,1,-1,-1,-1
3081.,NEW LIFE FINANCIAL CO INC,-1,-1,-1,-1,0.25,-1,-1,-1,1,1,-1,-1,-1
3082.,TRANSAMERICA TRAILER HOLDINGS II INC,-1,-1,-1,-1,0.25,-1,-1,-1,1,1,-1,-1,-1
3083.,KARPAS MATHEW,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3084.,NORTHLIGHT FINANCIAL LLC,-1,-1,-1,-1,-1,-1,0.25,-1,1,-1,-1,1,-1
3085.,KENDINGTON CAPITAL PARTNERS,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3086.,NYC FUNDING CENTER INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3087.,NYS EMPLOYEES FEDERAL CREDIT UNION,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3088.,KWON OH GEUN,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3089.,OPTIMA FUNDING CORP,-1,-1,-1,-1,0.25,-1,-1,-1,7,7,-1,-1,-1
3090.,PARK CHECK CASHING INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3091.,AFTER NINE HOLDINGS LLC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3092.,RATHBUN BROTHERS FARM,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3093.,MICHELIN FINANCE CORP,-1,-1,-1,-1,0.25,-1,-1,-1,1,1,-1,-1,-1
3094.,NET FUNDING CORP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3095.,SHELTER ROCK MORTGAGE CORP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3096.,NIAGARA FALLS AIR FORCE FEDERAL CREDIT U,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1
3097.,NIAGARAS CHOICE FEDERAL CREDIT UNION,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3098.,NIAGRA FALLS PENN CENTRAL EMPLOYEES CRED,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3099.,FIRST SHIP LEASE INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3100.,SKYSCRAPER CONSULTANTS INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3101.,STERN INVESTOR RELATIONS INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3102.,TARIK HOLDING CORP CO ABDUL PAHLADSINGH,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3103.,TEXAS ROTISSERIE & GRI,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3104.,PLATINUM FUNDING CORP,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1
3105.,QUILCAP CORP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3106.,TODAY S MORTGAGE,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3107.,MINTZ LEVIN COHN FERRIS GLOVSKY & POPEO,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3108.,RAHMANOU RONNIE,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3109.,REDIFORM NIAGARA FALLS NEW YORK FEDERAL,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3110.,RICHLAND EQUITY RESOURCES CORP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3111.,OXFORD INTERNATIONAL CORP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3112.,UNITED MORTGAGES OF AMERICA INC,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1
3113.,SAINT MARTINS FED CREDIT UNION,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3114.,SHEARWATER HOLDINGS LTD,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3115.,SNH MOTIVATION INC,-1,-1,-1,-1,0.25,-1,-1,-1,1,1,-1,-1,-1
3116.,636 6TH AVE LLC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3117.,79 AVENUE D CHECK CASHING CORP,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1
3118.,85 5TH LLC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3119.,AAR FINANCIAL CENTER INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3120.,ZEVCO RESOURCES LTD,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3121.,STRATFORD BUSINESS GROUP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3122.,CHARTER MAC EQUITY ISSUER TRUST,-1,-1,-1,-1,0.25,-1,-1,-1,1,1,-1,-1,-1
3123.,SUNRISE MORTGAGE CO INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3124.,SYBEDON EQUITIES CORP,-1,-1,-1,-1,0.25,-1,-1,-1,1,1,-1,-1,-1
3125.,AMERICAN EQUITY PARTNERS,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3126.,TRANSIT AUTHORITY DIVISION B CREDIT UNION,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1
3127.,TRUSTY CAPITAL INC,-1,-1,-1,-1,0.25,-1,-1,-1,1,1,-1,-1,-1
3128.,APP PRODUCTIONS INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3129.,DRAKE PARTNERS LLC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3130.,DUBIN & SWIECA HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,35,-1,-1,-1,-1
3131.,BAHAY FINANCING GROUP LLC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3132.,BANCO ATLANTICO,-1,-1,-1,-1,0.25,-1,-1,-1,1,1,-1,-1,-1
3133.,TRIBECA MORTGAGE CORP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3134.,WHITESTONE CHECK CASHING CORP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3135.,TUITION CREDIT EXCHANGE INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3136.,NORTHEAST HOLDING INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3137.,V & R PAYROLL FACTORS INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3138.,BEL-AIR CHECK CASHING CORP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3139.,BELKIND ASSOCIATES,-1,-1,-1,-1,0.25,-1,-1,-1,1,1,-1,-1,-1
3140.,SCHRODER & CO INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3141.,SELDIN ORGANIZATION INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3142.,ADVISOR MORTGAGE LLC,-1,-1,-1,-1,-1,-1,-1,0.25,7,-1,-1,-1,7
3143.,SPINNAKER MORTGAGE INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3144.,SAINT JOHN A M E CREDIT UNION INC,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1
3145.,BUSINESS FUNDING CORP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3146.,BUSINESS RESOURCE INVESTMENT SERVICE CEN,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1
3147.,CHINA CONSTRUCTION BANK,-1,-1,-1,-1,-1,-1,-1,-1,35,-1,-1,-1,-1
3148.,WCAS CAPITAL PARTNERS III LP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3149.,AMERI SWISS LEASING LTD,-1,-1,-1,-1,-1,-1,-1,0.25,1,-1,-1,-1,1
3150.,COMQUIP CAPITAL & LEASING INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3151.,IBJTC LEASING CORP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3152.,GE STRUCTURED FINANCE,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3153.,CUE CAPITAL INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3154.,STRUCTURED CAPITAL GROUP INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3155.,T & H HOLDING INC,-1,-1,-1,-1,0.25,-1,-1,-1,1,1,-1,-1,-1
3156.,ZWEIG FUND INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3157.,FIERSTEIN CO,-1,-1,-1,-1,0.25,-1,-1,-1,7,7,-1,-1,-1
3158.,DURHAM CAPITAL CORP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3159.,CAPSTONE HOLDINGS GROUP LLC,-1,-1,-1,-1,-1,-1,-1,-1,75,-1,-1,-1,-1
3160.,EMPIRT 207 FEDERAL CREDIT UNION,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1
3161.,AMERISTAR MORTGAGE CORP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3162.,ABBEY FUNDING CORP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3163.,COMMERCIAL EXPRESS FUNDING CORP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3164.,FLC PARTNERS LLC,-1,-1,-1,-1,-1,-1,0.25,-1,1,-1,-1,1,-1
3165.,GEMINI PARTNERS LP,-1,-1,-1,-1,0.25,-1,-1,-1,1,1,-1,-1,-1
3166.,ADIRONDECK HOME MORTGAGE INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3167.,ALICE WINZER LYTTON FAMILY LLC,-1,-1,-1,-1,-1,0.25,-1,-1,1,-1,1,-1,-1
3168.,ALINTRAD CO,-1,-1,-1,-1,-1,-1,0.25,-1,1,-1,-1,1,-1
3169.,EL PASO HOLDINGS LTD,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3170.,GREENTREE CONSULTING GROUP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3171.,BA CAPITAL INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3172.,IP SERVICES,-1,-1,-1,-1,0.25,-1,-1,-1,1,1,-1,-1,-1
3173.,IPG,-1,-1,-1,-1,-1,-1,0.25,-1,1,-1,-1,1,-1
3174.,DFS FUNDING CORP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3175.,JSE P PARTNERS,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3176.,BINGHAMTON MORTGAGE CO LLC,-1,-1,-1,-1,0.25,-1,-1,-1,1,1,-1,-1,-1
3177.,KLEINE EINE BROWNSTONE INC,-1,-1,-1,-1,0.25,-1,-1,-1,1,1,-1,-1,-1
3178.,KLINEMAN HOLDING CORP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3179.,KMS FINANCE CORP,-1,-1,-1,-1,-1,0.25,-1,-1,1,-1,1,-1,-1
3180.,KOOKMIN BANK NEW YORK BRANCH,-1,-1,-1,-1,0.25,-1,-1,-1,1,1,-1,-1,-1
3181.,LACOVINO LAW OFFICES,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3182.,LEE ANTHONY Y,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3183.,LOAN SOURCE INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3184.,MANN MANN & LEWIS PC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3185.,MAXIMUS HOLDING CORP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3186.,MIDSTREAM PARTNERS LLC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3187.,BAY STREET CHECK CASHING CORP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3188.,MURRAY JAMES CO INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3189.,NEW AMSTERDAM MORTGAGE,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3190.,BCP BANK,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3191.,NEXT ONE CAPITAL,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3192.,OLD MERCHANTS MORTGAGE INC,-1,-1,-1,-1,-1,-1,-1,-1,35,-1,-1,-1,-1
3193.,OLD WESTBURY FUND INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3194.,PENN FUNDING INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3195.,POSITIVE SERVICES INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3196.,QUANTUM GROUP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3197.,REGINA TRADING CORP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3198.,REILLY MORTGAGE GROUP INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3199.,CHARLIE MEANEYS,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3200.,ROBBINS & LLOYD MORTGAGE,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3201.,ROSENTHAL GROUP,-1,-1,-1,-1,-1,-1,-1,0.25,7,-1,-1,-1,7
3202.,COHOES BANCORP INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3203.,CORBETT RICHARD LOAN BROKER,-1,-1,-1,-1,-1,0.25,-1,-1,1,-1,1,-1,-1
3204.,CORNELL CAPITAL MANAGEMENT,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3205.,TINICUM PARTNERS LP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3206.,TROTWOOD CORP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3207.,TWINSTAR MORTGAGE INC,-1,-1,-1,-1,-1,0.25,-1,-1,7,-1,7,-1,-1
3208.,VICS CHECK CASHING CORP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3209.,ESPOSIT LLP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3210.,WOMENS LEAGUE FOR ISRAEL INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3211.,WASCO FUNDING CORP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3212.,WATCH HILL PARTNERS LLC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3213.,GLENN R MARSHALL,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3214.,ATC FUNDING LLC,-1,-1,-1,-1,0.25,-1,-1,-1,1,1,-1,-1,-1
3215.,NORTHERN SECURITY CAPITAL CORP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3216.,FIRST UNIVERSAL NETWORK INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3217.,FIRST WEST MORTGAGE BANKERS LTD,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
3218.,GSS PARTNERS LP,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
